,,,Seasons,,,Regular Season,,,,,,,,,,,Playoffs,,,,,,,,,
,,,w/ Franch,Overall,,Current Season,,,w/ Franchise,,,Career,,,,,Current Season,,,w/ Franchise,,,Career,,,season
Coach,Tm,,#,#,,G,W,L,G,W,L,G,W,L,W%,,G,W,L,G,W,L,G,W,L,2007-2008
Mike Woodson,ATL,,4,4,,82,37,45,328,106,222,328,106,222,0.323,,7,3,4,7,3,4,7,3,4,2007-2008
Doc Rivers,BOS,,4,9,,82,66,16,328,168,160,667,339,328,0.508,,26,16,10,33,19,14,48,24,24,2007-2008
Sam Vincent,CHA,,1,1,,82,32,50,82,32,50,82,32,50,0.39,,,,,,,,,,,2007-2008
Scott Skiles,CHI,,5,8,,25,9,16,337,165,172,532,281,251,0.528,,,,,22,10,12,35,15,20,2007-2008
Pete Myers,CHI,,2,2,,1,0,1,3,0,3,3,0,3,0,,,,,,,,,,,2007-2008
Jim Boylan,CHI,,1,1,,56,24,32,56,24,32,56,24,32,0.429,,,,,,,,,,,2007-2008
Mike Brown,CLE,,3,3,,82,45,37,246,145,101,246,145,101,0.589,,13,7,6,46,26,20,46,26,20,2007-2008
Avery Johnson,DAL,,4,4,,82,51,31,264,194,70,264,194,70,0.735,,5,1,4,47,23,24,47,23,24,2007-2008
George Karl,DEN,,4,20,,82,50,32,286,171,115,1493,879,614,0.589,,4,0,4,19,3,16,145,62,83,2007-2008
Flip Saunders,DET,,3,13,,82,59,23,246,176,70,983,587,396,0.597,,17,10,7,51,30,21,98,47,51,2007-2008
Don Nelson,GSW,,9,29,,82,48,34,701,367,334,2234,1280,954,0.573,,,,,35,14,21,166,75,91,2007-2008
Rick Adelman,HOU,,1,17,,82,55,27,82,55,27,1315,807,508,0.614,,6,2,4,6,2,4,144,72,72,2007-2008
Jim O'Brien,IND,,1,6,,82,36,46,82,36,46,422,218,204,0.517,,,,,,,,31,14,17,2007-2008
Mike Dunleavy,LAC,,5,15,,82,23,59,410,175,235,1198,573,625,0.478,,,,,12,7,5,71,38,33,2007-2008
Phil Jackson,LAL,,8,17,,82,57,25,656,431,225,1394,976,418,0.7,,21,14,7,125,82,43,277,193,84,2007-2008
Marc Iavaroni,MEM,,1,1,,82,22,60,82,22,60,82,22,60,0.268,,,,,,,,,,,2007-2008
Pat Riley,MIA,,11,24,,82,15,67,849,454,395,1904,1210,694,0.636,,,,,70,34,36,282,171,111,2007-2008
Larry Krystkowiak,MIL,,2,2,,82,26,56,100,31,69,100,31,69,0.31,,,,,,,,,,,2007-2008
Randy Wittman,MIN,,2,4,,82,22,60,124,34,90,288,96,192,0.333,,,,,,,,,,,2007-2008
Lawrence Frank,NJN,,5,5,,82,34,48,368,191,177,368,191,177,0.519,,,,,38,18,20,38,18,20,2007-2008
Byron Scott,NOH,,4,8,,82,56,26,328,151,177,616,300,316,0.487,,12,7,5,12,7,5,52,32,20,2007-2008
Isiah Thomas,NYK,,2,5,,82,23,59,164,56,108,410,187,223,0.456,,,,,,,,15,5,10,2007-2008
Stan Van Gundy,ORL,,1,4,,82,52,30,82,52,30,267,164,103,0.614,,10,5,5,10,5,5,38,22,16,2007-2008
Maurice Cheeks,PHI,,3,7,,82,40,42,246,113,133,547,275,272,0.503,,6,2,4,6,2,4,16,5,11,2007-2008
Mike D'Antoni,PHO,,5,6,,82,55,27,389,253,136,439,267,172,0.608,,5,1,4,51,26,25,51,26,25,2007-2008
Nate McMillan,POR,,3,8,,82,41,41,246,94,152,641,306,335,0.477,,,,,,,,16,8,8,2007-2008
Reggie Theus,SAC,,1,1,,82,38,44,82,38,44,82,38,44,0.463,,,,,,,,,,,2007-2008
Gregg Popovich,SAS,,12,12,,82,56,26,934,632,302,934,632,302,0.677,,17,9,8,160,101,59,160,101,59,2007-2008
P.J. Carlesimo,SEA,,1,7,,82,20,62,82,20,62,487,203,284,0.417,,,,,,,,12,3,9,2007-2008
Sam Mitchell,TOR,,4,4,,82,41,41,328,148,180,328,148,180,0.451,,5,1,4,11,3,8,11,3,8,2007-2008
Jerry Sloan,UTA,,20,23,,82,54,28,1591,995,596,1806,1089,717,0.603,,12,6,6,181,91,90,187,93,94,2007-2008
Eddie Jordan,WAS,,5,7,,82,43,39,410,196,214,507,229,278,0.452,,6,2,4,26,8,18,26,8,18,2007-2008
