,,,Seasons,,,Regular Season,,,,,,,,,,,Playoffs,,,,,,,,,
,,,w/ Franch,Overall,,Current Season,,,w/ Franchise,,,Career,,,,,Current Season,,,w/ Franchise,,,Career,,,
Coach,Tm,,#,#,,G,W,L,G,W,L,G,W,L,W%,,G,W,L,G,W,L,G,W,L,season
Mike Budenholzer,ATL,,3,3,,82,48,34,246,146,100,246,146,100,0.593,,10,4,6,33,15,18,33,15,18,2015-2016
Brad Stevens,BOS,,3,3,,82,48,34,246,113,133,246,113,133,0.459,,6,2,4,10,2,8,10,2,8,2015-2016
Lionel Hollins,BRK,,2,9,,37,10,27,119,48,71,534,262,272,0.491,,,,,6,2,4,41,20,21,2015-2016
Tony Brown,BRK,,1,1,,45,11,34,45,11,34,45,11,34,0.244,,,,,,,,,,,2015-2016
Fred Hoiberg,CHI,,1,1,,82,42,40,82,42,40,82,42,40,0.512,,,,,,,,,,,2015-2016
Steve Clifford,CHO,,3,3,,82,48,34,246,124,122,246,124,122,0.504,,7,3,4,11,3,8,11,3,8,2015-2016
David Blatt,CLE,,2,2,,41,30,11,123,83,40,123,83,40,0.675,,,,,20,14,6,20,14,6,2015-2016
Tyronn Lue,CLE,,1,1,,41,27,14,41,27,14,41,27,14,0.659,,21,16,5,21,16,5,21,16,5,2015-2016
Rick Carlisle,DAL,,8,14,,82,42,40,640,380,260,1132,661,471,0.584,,5,1,4,58,28,30,120,58,62,2015-2016
Michael Malone,DEN,,1,3,,82,33,49,82,33,49,188,72,116,0.383,,,,,,,,,,,2015-2016
Stan Van Gundy,DET,,2,10,,82,44,38,164,76,88,743,447,296,0.602,,4,0,4,4,0,4,91,48,43,2015-2016
Steve Kerr,GSW,,2,2,,82,73,9,164,140,24,164,140,24,0.854,,24,15,9,45,31,14,45,31,14,2015-2016
Kevin McHale,HOU,,5,7,,11,4,7,323,193,130,417,232,185,0.556,,,,,29,13,16,29,13,16,2015-2016
J.B. Bickerstaff,HOU,,1,1,,71,37,34,71,37,34,71,37,34,0.521,,5,1,4,5,1,4,5,1,4,2015-2016
Frank Vogel,IND,,6,6,,82,45,37,431,250,181,431,250,181,0.58,,7,3,4,61,31,30,61,31,30,2015-2016
Doc Rivers,LAC,,3,17,,82,53,29,246,166,80,1306,753,553,0.577,,6,2,4,33,15,18,154,79,75,2015-2016
Byron Scott,LAL,,2,15,,82,17,65,164,38,126,1101,454,647,0.412,,,,,,,,57,33,24,2015-2016
Dave Joerger,MEM,,3,3,,82,42,40,246,147,99,246,147,99,0.598,,4,0,4,22,9,13,22,9,13,2015-2016
Erik Spoelstra,MIA,,8,8,,82,48,34,640,399,241,640,399,241,0.623,,14,7,7,113,70,43,113,70,43,2015-2016
Jason Kidd,MIL,,2,3,,82,33,49,164,74,90,246,118,128,0.48,,,,,6,2,4,18,7,11,2015-2016
Sam Mitchell,MIN,,1,6,,82,29,53,82,29,53,427,185,242,0.433,,,,,,,,11,3,8,2015-2016
Alvin Gentry,NOP,,1,13,,82,30,52,82,30,52,787,365,422,0.464,,,,,,,,21,12,9,2015-2016
Derek Fisher,NYK,,2,2,,54,23,31,136,40,96,136,40,96,0.294,,,,,,,,,,,2015-2016
Kurt Rambis,NYK,,1,4,,28,9,19,28,9,19,229,65,164,0.284,,,,,,,,8,3,5,2015-2016
Billy Donovan,OKC,,1,1,,82,55,27,82,55,27,82,55,27,0.671,,18,11,7,18,11,7,18,11,7,2015-2016
Scott Skiles,ORL,,1,14,,82,35,47,82,35,47,958,478,480,0.499,,,,,,,,42,18,24,2015-2016
Brett Brown,PHI,,3,3,,82,10,72,246,47,199,246,47,199,0.191,,,,,,,,,,,2015-2016
Jeff Hornacek,PHO,,3,3,,49,14,35,213,101,112,213,101,112,0.474,,,,,,,,,,,2015-2016
Earl Watson,PHO,,1,1,,33,9,24,33,9,24,33,9,24,0.273,,,,,,,,,,,2015-2016
Terry Stotts,POR,,4,8,,82,44,38,328,182,146,611,297,314,0.486,,11,5,6,27,11,16,32,12,20,2015-2016
George Karl,SAC,,2,27,,82,33,49,112,44,68,1999,1175,824,0.588,,,,,,,,185,80,105,2015-2016
Gregg Popovich,SAS,,20,20,,82,67,15,1574,1089,485,1574,1089,485,0.692,,10,6,4,256,158,98,256,158,98,2015-2016
Dwane Casey,TOR,,5,7,,82,56,26,394,210,184,516,263,253,0.51,,20,10,10,31,13,18,31,13,18,2015-2016
Quin Snyder,UTA,,2,2,,82,40,42,164,78,86,164,78,86,0.476,,,,,,,,,,,2015-2016
Randy Wittman,WAS,,5,10,,82,41,41,377,178,199,684,278,406,0.406,,,,,21,12,9,21,12,9,2015-2016
