,,,Seasons,,,Regular Season,,,,,,,,,,,Playoffs,,,,,,,,,
,,,w/ Franch,Overall,,Current Season,,,w/ Franchise,,,Career,,,,,Current Season,,,w/ Franchise,,,Career,,,
Coach,Tm,,#,#,,G,W,L,G,W,L,G,W,L,W%,,G,W,L,G,W,L,G,W,L,season
Mike Budenholzer,ATL,,2,2,,82,60,22,164,98,66,164,98,66,0.598,,16,8,8,23,11,12,23,11,12,2014-2015
Brad Stevens,BOS,,2,2,,82,40,42,164,65,99,164,65,99,0.396,,4,0,4,4,0,4,4,0,4,2014-2015
Lionel Hollins,BRK,,1,8,,82,38,44,82,38,44,497,252,245,0.507,,6,2,4,6,2,4,41,20,21,2014-2015
Tom Thibodeau,CHI,,5,5,,82,50,32,394,255,139,394,255,139,0.647,,12,6,6,51,23,28,51,23,28,2014-2015
Steve Clifford,CHO,,2,2,,82,33,49,164,76,88,164,76,88,0.463,,,,,4,0,4,4,0,4,2014-2015
David Blatt,CLE,,1,1,,82,53,29,82,53,29,82,53,29,0.646,,20,14,6,20,14,6,20,14,6,2014-2015
Rick Carlisle,DAL,,7,13,,82,50,32,558,338,220,1050,619,431,0.59,,5,1,4,53,27,26,115,57,58,2014-2015
Brian Shaw,DEN,,2,2,,59,20,39,141,56,85,141,56,85,0.397,,,,,,,,,,,2014-2015
Melvin Hunt,DEN,,1,1,,23,10,13,23,10,13,23,10,13,0.435,,,,,,,,,,,2014-2015
Stan Van Gundy,DET,,1,9,,82,32,50,82,32,50,661,403,258,0.61,,,,,,,,87,48,39,2014-2015
Steve Kerr,GSW,,1,1,,82,67,15,82,67,15,82,67,15,0.817,,21,16,5,21,16,5,21,16,5,2014-2015
Kevin McHale,HOU,,4,6,,82,56,26,312,189,123,406,228,178,0.562,,17,9,8,29,13,16,29,13,16,2014-2015
Frank Vogel,IND,,5,5,,82,38,44,349,205,144,349,205,144,0.587,,,,,54,28,26,54,28,26,2014-2015
Doc Rivers,LAC,,2,16,,82,56,26,164,113,51,1224,700,524,0.572,,14,7,7,27,13,14,148,77,71,2014-2015
Byron Scott,LAL,,1,14,,82,21,61,82,21,61,1019,437,582,0.429,,,,,,,,57,33,24,2014-2015
Dave Joerger,MEM,,2,2,,82,55,27,164,105,59,164,105,59,0.64,,11,6,5,18,9,9,18,9,9,2014-2015
Erik Spoelstra,MIA,,7,7,,82,37,45,558,351,207,558,351,207,0.629,,,,,99,63,36,99,63,36,2014-2015
Jason Kidd,MIL,,1,2,,82,41,41,82,41,41,164,85,79,0.518,,6,2,4,6,2,4,18,7,11,2014-2015
Flip Saunders,MIN,,11,17,,82,16,66,819,427,392,1246,654,592,0.525,,,,,47,17,30,98,47,51,2014-2015
Monty Williams,NOP,,5,5,,82,45,37,394,173,221,394,173,221,0.439,,4,0,4,10,2,8,10,2,8,2014-2015
Derek Fisher,NYK,,1,1,,82,17,65,82,17,65,82,17,65,0.207,,,,,,,,,,,2014-2015
Scott Brooks,OKC,,7,7,,82,45,37,545,338,207,545,338,207,0.62,,,,,73,39,34,73,39,34,2014-2015
Jacque Vaughn,ORL,,3,3,,52,15,37,216,58,158,216,58,158,0.269,,,,,,,,,,,2014-2015
James Borrego,ORL,,1,1,,30,10,20,30,10,20,30,10,20,0.333,,,,,,,,,,,2014-2015
Brett Brown,PHI,,2,2,,82,18,64,164,37,127,164,37,127,0.226,,,,,,,,,,,2014-2015
Jeff Hornacek,PHO,,2,2,,82,39,43,164,87,77,164,87,77,0.53,,,,,,,,,,,2014-2015
Terry Stotts,POR,,3,7,,82,51,31,246,138,108,529,253,276,0.478,,5,1,4,16,6,10,21,7,14,2014-2015
Michael Malone,SAC,,2,2,,24,11,13,106,39,67,106,39,67,0.368,,,,,,,,,,,2014-2015
Tyrone Corbin,SAC,,1,5,,28,7,21,28,7,21,286,119,167,0.416,,,,,,,,4,0,4,2014-2015
George Karl,SAC,,1,26,,30,11,19,30,11,19,1917,1142,775,0.596,,,,,,,,185,80,105,2014-2015
Gregg Popovich,SAS,,19,19,,82,55,27,1492,1022,470,1492,1022,470,0.685,,7,3,4,246,152,94,246,152,94,2014-2015
Dwane Casey,TOR,,4,6,,82,49,33,312,154,158,434,207,227,0.477,,4,0,4,11,3,8,11,3,8,2014-2015
Quin Snyder,UTA,,1,1,,82,38,44,82,38,44,82,38,44,0.463,,,,,,,,,,,2014-2015
Randy Wittman,WAS,,4,9,,82,46,36,295,137,158,602,237,365,0.394,,10,6,4,21,12,9,21,12,9,2014-2015
