,,,Seasons,,,Regular Season,,,,,,,,,,,Playoffs,,,,,,,,,
,,,w/ Franch,Overall,,Current Season,,,w/ Franchise,,,Career,,,,,Current Season,,,w/ Franchise,,,Career,,,season
Coach,Tm,,#,#,,G,W,L,G,W,L,G,W,L,W%,,G,W,L,G,W,L,G,W,L,2006-2007
Mike Woodson,ATL,,3,3,,82,30,52,246,69,177,246,69,177,0.28,,,,,,,,,,,2006-2007
Doc Rivers,BOS,,3,8,,82,24,58,246,102,144,585,273,312,0.467,,,,,7,3,4,22,8,14,2006-2007
Bernie Bickerstaff,CHA,,3,13,,82,33,49,246,77,169,932,415,517,0.445,,,,,,,,33,12,21,2006-2007
Scott Skiles,CHI,,4,7,,82,49,33,312,156,156,507,272,235,0.536,,10,6,4,22,10,12,35,15,20,2006-2007
Mike Brown,CLE,,2,2,,82,50,32,164,100,64,164,100,64,0.61,,20,12,8,33,19,14,33,19,14,2006-2007
Avery Johnson,DAL,,3,3,,82,67,15,182,143,39,182,143,39,0.786,,6,2,4,42,22,20,42,22,20,2006-2007
George Karl,DEN,,3,19,,82,45,37,204,121,83,1411,829,582,0.588,,5,1,4,15,3,12,141,62,79,2006-2007
Flip Saunders,DET,,2,12,,82,53,29,164,117,47,901,528,373,0.586,,16,10,6,34,20,14,81,37,44,2006-2007
Don Nelson,GSW,,8,28,,82,42,40,619,319,300,2152,1232,920,0.572,,11,5,6,35,14,21,166,75,91,2006-2007
Jeff Van Gundy,HOU,,4,11,,82,52,30,328,182,146,748,430,318,0.575,,7,3,4,19,7,12,88,44,44,2006-2007
Rick Carlisle,IND,,4,6,,82,35,47,328,181,147,492,281,211,0.571,,,,,35,18,17,62,30,32,2006-2007
Mike Dunleavy,LAC,,4,14,,82,40,42,328,152,176,1116,550,566,0.493,,,,,12,7,5,71,38,33,2006-2007
Phil Jackson,LAL,,7,16,,82,42,40,574,374,200,1312,919,393,0.7,,5,1,4,104,68,36,256,179,77,2006-2007
Mike Fratello,MEM,,3,17,,30,6,24,178,95,83,1215,667,548,0.549,,,,,8,0,8,62,20,42,2006-2007
Tony Barone,MEM,,1,1,,52,16,36,52,16,36,52,16,36,0.308,,,,,,,,,,,2006-2007
Pat Riley,MIA,,10,23,,82,44,38,767,439,328,1822,1195,627,0.656,,4,0,4,70,34,36,282,171,111,2006-2007
Terry Stotts,MIL,,2,4,,64,23,41,146,63,83,283,115,168,0.406,,,,,5,1,4,5,1,4,2006-2007
Larry Krystkowiak,MIL,,1,1,,18,5,13,18,5,13,18,5,13,0.278,,,,,,,,,,,2006-2007
Dwane Casey,MIN,,2,2,,40,20,20,122,53,69,122,53,69,0.434,,,,,,,,,,,2006-2007
Randy Wittman,MIN,,1,3,,42,12,30,42,12,30,206,74,132,0.359,,,,,,,,,,,2006-2007
Lawrence Frank,NJN,,4,4,,82,41,41,286,157,129,286,157,129,0.549,,12,6,6,38,18,20,38,18,20,2006-2007
Byron Scott,NOK,,3,7,,82,39,43,246,95,151,534,244,290,0.457,,,,,,,,40,25,15,2006-2007
Isiah Thomas,NYK,,1,4,,82,33,49,82,33,49,328,164,164,0.5,,,,,,,,15,5,10,2006-2007
Brian Hill,ORL,,6,9,,82,40,42,459,267,192,613,298,315,0.486,,4,0,4,40,18,22,40,18,22,2006-2007
Maurice Cheeks,PHI,,2,6,,82,35,47,164,73,91,465,235,230,0.505,,,,,,,,10,3,7,2006-2007
Mike D'Antoni,PHO,,4,5,,82,61,21,307,198,109,357,212,145,0.594,,11,6,5,46,25,21,46,25,21,2006-2007
Nate McMillan,POR,,2,7,,82,32,50,164,53,111,559,265,294,0.474,,,,,,,,16,8,8,2006-2007
Eric Musselman,SAC,,1,3,,82,33,49,82,33,49,246,108,138,0.439,,,,,,,,,,,2006-2007
Gregg Popovich,SAS,,11,11,,82,58,24,852,576,276,852,576,276,0.676,,20,16,4,143,92,51,143,92,51,2006-2007
Bob Hill,SEA,,2,9,,82,31,51,134,53,81,603,310,293,0.514,,,,,,,,37,17,20,2006-2007
Sam Mitchell,TOR,,3,3,,82,47,35,246,107,139,246,107,139,0.435,,6,2,4,6,2,4,6,2,4,2006-2007
Jerry Sloan,UTA,,19,22,,82,51,31,1509,941,568,1724,1035,689,0.6,,17,9,8,169,85,84,175,87,88,2006-2007
Eddie Jordan,WAS,,4,6,,82,41,41,328,153,175,425,186,239,0.438,,4,0,4,20,6,14,20,6,14,2006-2007
