,,,Seasons,,,Regular Season,,,,,,,,,,,Playoffs,,,,,,,,,
,,,w/ Franch,Overall,,Current Season,,,w/ Franchise,,,Career,,,,,Current Season,,,w/ Franchise,,,Career,,,
Coach,Tm,,#,#,,G,W,L,G,W,L,G,W,L,W%,,G,W,L,G,W,L,G,W,L,season
Mike Woodson,ATL,,1,1,,82,13,69,82,13,69,82,13,69,0.159,,,,,,,,,,,2004-2005
Doc Rivers,BOS,,1,6,,82,45,37,82,45,37,421,216,205,0.513,,7,3,4,7,3,4,22,8,14,2004-2005
Bernie Bickerstaff,CHA,,1,11,,82,18,64,82,18,64,768,356,412,0.464,,,,,,,,33,12,21,2004-2005
Scott Skiles,CHI,,2,5,,82,47,35,148,66,82,343,182,161,0.531,,6,2,4,6,2,4,19,7,12,2004-2005
Paul Silas,CLE,,2,10,,64,34,30,146,69,77,755,355,400,0.47,,,,,,,,29,13,16,2004-2005
Brendan Malone,CLE,,1,2,,18,8,10,18,8,10,100,29,71,0.29,,,,,,,,,,,2004-2005
Don Nelson,DAL,,8,27,,64,42,22,590,339,251,2070,1190,880,0.575,,,,,43,19,24,155,70,85,2004-2005
Avery Johnson,DAL,,1,1,,18,16,2,18,16,2,18,16,2,0.889,,13,6,7,13,6,7,13,6,7,2004-2005
Jeff Bzdelik,DEN,,3,3,,28,13,15,192,73,119,192,73,119,0.38,,,,,5,1,4,5,1,4,2004-2005
Michael Cooper,DEN,,1,1,,14,4,10,14,4,10,14,4,10,0.286,,,,,,,,,,,2004-2005
George Karl,DEN,,1,17,,40,32,8,40,32,8,1247,740,507,0.593,,5,1,4,5,1,4,131,60,71,2004-2005
Larry Brown,DET,,2,26,,82,54,28,164,108,56,2064,1216,848,0.589,,25,15,10,48,31,17,231,120,111,2004-2005
Mike Montgomery,GSW,,1,1,,82,34,48,82,34,48,82,34,48,0.415,,,,,,,,,,,2004-2005
Jeff Van Gundy,HOU,,2,9,,82,51,31,164,96,68,584,344,240,0.589,,7,3,4,12,4,8,81,41,40,2004-2005
Rick Carlisle,IND,,2,4,,82,44,38,164,105,59,328,205,123,0.625,,13,6,7,29,16,13,56,28,28,2004-2005
Mike Dunleavy,LAC,,2,12,,82,37,45,164,65,99,952,463,489,0.486,,,,,,,,59,31,28,2004-2005
Rudy Tomjanovich,LAL,,1,13,,43,24,19,43,24,19,943,527,416,0.559,,,,,,,,90,51,39,2004-2005
Frank Hamblen,LAL,,1,2,,39,10,29,39,10,29,104,33,71,0.317,,,,,,,,,,,2004-2005
Hubie Brown,MEM,,3,15,,12,5,7,168,83,85,1087,528,559,0.486,,,,,4,0,4,63,31,32,2004-2005
Lionel Hollins,MEM,,2,2,,4,0,4,64,18,46,64,18,46,0.281,,,,,,,,,,,2004-2005
Mike Fratello,MEM,,1,15,,66,40,26,66,40,26,1103,612,491,0.555,,4,0,4,4,0,4,58,20,38,2004-2005
Stan Van Gundy,MIA,,2,2,,82,59,23,164,101,63,164,101,63,0.616,,15,11,4,28,17,11,28,17,11,2004-2005
Terry Porter,MIL,,2,2,,82,30,52,164,71,93,164,71,93,0.433,,,,,5,1,4,5,1,4,2004-2005
Flip Saunders,MIN,,10,10,,51,25,26,737,411,326,737,411,326,0.558,,,,,47,17,30,47,17,30,2004-2005
Kevin McHale,MIN,,1,1,,31,19,12,31,19,12,31,19,12,0.613,,,,,,,,,,,2004-2005
Lawrence Frank,NJN,,2,2,,82,42,40,122,67,55,122,67,55,0.549,,4,0,4,15,7,8,15,7,8,2004-2005
Byron Scott,NOH,,1,5,,82,18,64,82,18,64,370,167,203,0.451,,,,,,,,40,25,15,2004-2005
Lenny Wilkens,NYK,,2,32,,39,17,22,81,40,41,2487,1332,1155,0.536,,,,,4,0,4,178,80,98,2004-2005
Herb Williams,NYK,,2,2,,43,16,27,44,17,27,44,17,27,0.386,,,,,,,,,,,2004-2005
Johnny Davis,ORL,,2,3,,64,31,33,135,51,84,217,73,144,0.336,,,,,,,,,,,2004-2005
Chris Jent,ORL,,1,1,,18,5,13,18,5,13,18,5,13,0.278,,,,,,,,,,,2004-2005
Jim O'Brien,PHI,,1,5,,82,43,39,82,43,39,340,182,158,0.535,,5,1,4,5,1,4,31,14,17,2004-2005
Mike D'Antoni,PHO,,2,3,,82,62,20,143,83,60,193,97,96,0.503,,15,9,6,15,9,6,15,9,6,2004-2005
Maurice Cheeks,POR,,4,4,,55,22,33,301,162,139,301,162,139,0.538,,,,,10,3,7,10,3,7,2004-2005
Kevin Pritchard,POR,,1,1,,27,5,22,27,5,22,27,5,22,0.185,,,,,,,,,,,2004-2005
Rick Adelman,SAC,,7,15,,82,50,32,542,351,191,1151,708,443,0.615,,5,1,4,63,32,31,132,68,64,2004-2005
Gregg Popovich,SAS,,9,9,,82,59,23,688,455,233,688,455,233,0.661,,23,16,7,110,69,41,110,69,41,2004-2005
Nate McMillan,SEA,,5,5,,82,52,30,395,212,183,395,212,183,0.537,,11,6,5,16,8,8,16,8,8,2004-2005
Sam Mitchell,TOR,,1,1,,82,33,49,82,33,49,82,33,49,0.402,,,,,,,,,,,2004-2005
Jerry Sloan,UTA,,17,20,,82,26,56,1345,849,496,1560,943,617,0.604,,,,,152,76,76,158,78,80,2004-2005
Eddie Jordan,WAS,,2,4,,82,45,37,164,70,94,261,103,158,0.395,,10,4,6,10,4,6,10,4,6,2004-2005
