,,,Seasons,,,Regular Season,,,,,,,,,,,Playoffs,,,,,,,,,
,,,w/ Franch,Overall,,Current Season,,,w/ Franchise,,,Career,,,,,Current Season,,,w/ Franchise,,,Career,,,
Coach,Tm,,#,#,,G,W,L,G,W,L,G,W,L,W%,,G,W,L,G,W,L,G,W,L,season
Terry Stotts,ATL,,2,2,,82,28,54,137,52,85,137,52,85,0.38,,,,,,,,,,,
Jim O'Brien,BOS,,4,4,,46,22,24,258,139,119,258,139,119,0.539,,,,,26,13,13,26,13,13,2003-2004
John Carroll,BOS,,1,1,,36,14,22,36,14,22,36,14,22,0.389,,4,0,4,4,0,4,4,0,4,2003-2004
Bill Cartwright,CHI,,3,3,,14,4,10,151,51,100,151,51,100,0.338,,,,,,,,,,,2003-2004
Pete Myers,CHI,,1,1,,2,0,2,2,0,2,2,0,2,0,,,,,,,,,,,2003-2004
Scott Skiles,CHI,,1,4,,66,19,47,66,19,47,261,135,126,0.517,,,,,,,,13,5,8,2003-2004
Paul Silas,CLE,,1,9,,82,35,47,82,35,47,691,321,370,0.465,,,,,,,,29,13,16,2003-2004
Don Nelson,DAL,,7,26,,82,52,30,526,297,229,2006,1148,858,0.572,,5,1,4,43,19,24,155,70,85,2003-2004
Jeff Bzdelik,DEN,,2,2,,82,43,39,164,60,104,164,60,104,0.366,,5,1,4,5,1,4,5,1,4,2003-2004
Larry Brown,DET,,1,25,,82,54,28,82,54,28,1982,1162,820,0.586,,23,16,7,23,16,7,206,105,101,2003-2004
Eric Musselman,GSW,,2,2,,82,37,45,164,75,89,164,75,89,0.457,,,,,,,,,,,2003-2004
Jeff Van Gundy,HOU,,1,8,,82,45,37,82,45,37,502,293,209,0.584,,5,1,4,5,1,4,74,38,36,2003-2004
Rick Carlisle,IND,,1,3,,82,61,21,82,61,21,246,161,85,0.654,,16,10,6,16,10,6,43,22,21,2003-2004
Mike Dunleavy,LAC,,1,11,,82,28,54,82,28,54,870,426,444,0.49,,,,,,,,59,31,28,2003-2004
Phil Jackson,LAL,,5,14,,82,56,26,410,287,123,1148,832,316,0.725,,22,13,9,92,64,28,244,175,69,2003-2004
Hubie Brown,MEM,,2,14,,82,50,32,156,78,78,1075,523,552,0.487,,4,0,4,4,0,4,63,31,32,2003-2004
Stan Van Gundy,MIA,,1,1,,82,42,40,82,42,40,82,42,40,0.512,,13,6,7,13,6,7,13,6,7,2003-2004
Terry Porter,MIL,,1,1,,82,41,41,82,41,41,82,41,41,0.5,,5,1,4,5,1,4,5,1,4,2003-2004
Flip Saunders,MIN,,9,9,,82,58,24,686,386,300,686,386,300,0.563,,18,10,8,47,17,30,47,17,30,2003-2004
Byron Scott,NJN,,4,4,,42,22,20,288,149,139,288,149,139,0.517,,,,,40,25,15,40,25,15,2003-2004
Lawrence Frank,NJN,,1,1,,40,25,15,40,25,15,40,25,15,0.625,,11,7,4,11,7,4,11,7,4,2003-2004
Tim Floyd,NOH,,1,5,,82,41,41,82,41,41,321,90,231,0.28,,7,3,4,7,3,4,7,3,4,2003-2004
Don Chaney,NYK,,3,12,,39,15,24,184,72,112,831,337,494,0.406,,,,,,,,11,2,9,2003-2004
Herb Williams,NYK,,1,1,,1,1,0,1,1,0,1,1,0,1,,,,,,,,,,,2003-2004
Lenny Wilkens,NYK,,1,31,,42,23,19,42,23,19,2448,1315,1133,0.537,,4,0,4,4,0,4,178,80,98,2003-2004
Doc Rivers,ORL,,5,5,,11,1,10,339,171,168,339,171,168,0.504,,,,,15,5,10,15,5,10,2003-2004
Johnny Davis,ORL,,1,2,,71,20,51,71,20,51,153,42,111,0.275,,,,,,,,,,,2003-2004
Randy Ayers,PHI,,1,1,,52,21,31,52,21,31,52,21,31,0.404,,,,,,,,,,,2003-2004
Chris Ford,PHI,,1,10,,30,12,18,30,12,18,699,323,376,0.462,,,,,,,,29,13,16,2003-2004
Frank Johnson,PHO,,3,3,,21,8,13,134,63,71,134,63,71,0.47,,,,,6,2,4,6,2,4,2003-2004
Mike D'Antoni,PHO,,1,2,,61,21,40,61,21,40,111,35,76,0.315,,,,,,,,,,,2003-2004
Maurice Cheeks,POR,,3,3,,82,41,41,246,140,106,246,140,106,0.569,,,,,10,3,7,10,3,7,2003-2004
Rick Adelman,SAC,,6,14,,82,55,27,460,301,159,1069,658,411,0.616,,12,7,5,58,31,27,127,67,60,2003-2004
Gregg Popovich,SAS,,8,8,,82,57,25,606,396,210,606,396,210,0.653,,10,6,4,87,53,34,87,53,34,2003-2004
Nate McMillan,SEA,,4,4,,82,37,45,313,160,153,313,160,153,0.511,,,,,5,2,3,5,2,3,2003-2004
Kevin O'Neill,TOR,,1,1,,82,33,49,82,33,49,82,33,49,0.402,,,,,,,,,,,2003-2004
Jerry Sloan,UTA,,16,19,,82,42,40,1263,823,440,1478,917,561,0.62,,,,,152,76,76,158,78,80,2003-2004
Eddie Jordan,WAS,,1,3,,82,25,57,82,25,57,179,58,121,0.324,,,,,,,,,,,
