,,,Seasons,,,Regular Season,,,,,,,,,,,Playoffs,,,,,,,,,
,,,w/ Franch,Overall,,Current Season,,,w/ Franchise,,,Career,,,,,Current Season,,,w/ Franchise,,,Career,,,
Coach,Tm,,#,#,,G,W,L,G,W,L,G,W,L,W%,,G,W,L,G,W,L,G,W,L,season
Mike Woodson,ATL,,6,6,,82,53,29,492,206,286,492,206,286,0.419,,11,4,7,29,11,18,29,11,18,2008-2009
Doc Rivers,BOS,,6,11,,82,50,32,492,280,212,831,451,380,0.543,,24,15,9,71,41,30,86,46,40,2008-2009
Larry Brown,CHA,,2,29,,82,44,38,164,79,85,2310,1318,992,0.571,,4,0,4,4,0,4,235,120,115,2008-2009
Vinny Del Negro,CHI,,2,2,,82,41,41,164,82,82,164,82,82,0.5,,5,1,4,12,4,8,12,4,8,2008-2009
Mike Brown,CLE,,5,5,,82,61,21,410,272,138,410,272,138,0.663,,11,6,5,71,42,29,71,42,29,2008-2009
Rick Carlisle,DAL,,2,8,,82,55,27,164,105,59,656,386,270,0.588,,6,2,4,16,7,9,78,37,41,2008-2009
George Karl,DEN,,6,22,,82,53,29,450,278,172,1657,986,671,0.595,,6,2,4,41,15,26,167,74,93,2008-2009
John Kuester,DET,,1,1,,82,27,55,82,27,55,82,27,55,0.329,,,,,,,,,,,2008-2009
Don Nelson,GSW,,11,31,,82,26,56,865,422,443,2398,1335,1063,0.557,,,,,35,14,21,166,75,91,2008-2009
Rick Adelman,HOU,,3,19,,82,42,40,246,150,96,1479,902,577,0.61,,,,,19,9,10,157,79,78,2008-2009
Jim O'Brien,IND,,3,8,,82,32,50,246,104,142,586,286,300,0.488,,,,,,,,31,14,17,2008-2009
Mike Dunleavy,LAC,,7,17,,49,21,28,541,215,326,1329,613,716,0.461,,,,,12,7,5,71,38,33,2008-2009
Kim Hughes,LAC,,1,1,,33,8,25,33,8,25,33,8,25,0.242,,,,,,,,,,,2008-2009
Phil Jackson,LAL,,10,19,,82,57,25,820,553,267,1558,1098,460,0.705,,23,16,7,171,114,57,323,225,98,2008-2009
Lionel Hollins,MEM,,4,4,,82,40,42,185,71,114,185,71,114,0.384,,,,,,,,,,,2008-2009
Erik Spoelstra,MIA,,2,2,,82,47,35,164,90,74,164,90,74,0.549,,5,1,4,12,4,8,12,4,8,2008-2009
Scott Skiles,MIL,,2,10,,82,46,36,164,80,84,696,361,335,0.519,,7,3,4,7,3,4,42,18,24,2008-2009
Kurt Rambis,MIN,,1,2,,82,15,67,82,15,67,119,39,80,0.328,,,,,,,,8,3,5,2008-2009
Lawrence Frank,NJN,,7,7,,16,0,16,466,225,241,466,225,241,0.483,,,,,38,18,20,38,18,20,2008-2009
Tom Barrise,NJN,,1,1,,2,0,2,2,0,2,2,0,2,0,,,,,,,,,,,2008-2009
Kiki Vandeweghe,NJN,,1,1,,64,12,52,64,12,52,64,12,52,0.188,,,,,,,,,,,2008-2009
Byron Scott,NOH,,6,10,,9,3,6,419,203,216,707,352,355,0.498,,,,,17,8,9,57,33,24,2008-2009
Jeff Bower,NOH,,1,1,,73,34,39,73,34,39,73,34,39,0.466,,,,,,,,,,,2008-2009
Mike D'Antoni,NYK,,2,8,,82,29,53,164,61,103,603,328,275,0.544,,,,,,,,51,26,25,2008-2009
Scott Brooks,OKC,,2,2,,82,50,32,151,72,79,151,72,79,0.477,,6,2,4,6,2,4,6,2,4,2008-2009
Stan Van Gundy,ORL,,3,6,,82,59,23,246,170,76,431,282,149,0.654,,14,10,4,48,28,20,76,45,31,2008-2009
Eddie Jordan,PHI,,1,9,,82,27,55,82,27,55,600,257,343,0.428,,,,,,,,26,8,18,2008-2009
Alvin Gentry,PHO,,2,9,,82,54,28,113,72,41,516,249,267,0.483,,16,10,6,16,10,6,21,12,9,2008-2009
Nate McMillan,POR,,5,10,,82,50,32,410,198,212,805,410,395,0.509,,6,2,4,12,4,8,28,12,16,2008-2009
Paul Westphal,SAC,,1,8,,82,25,57,82,25,57,508,292,216,0.575,,,,,,,,49,27,22,2008-2009
Gregg Popovich,SAS,,14,14,,82,50,32,1098,736,362,1098,736,362,0.67,,10,4,6,175,106,69,175,106,69,2008-2009
Jay Triano,TOR,,2,2,,82,40,42,147,65,82,147,65,82,0.442,,,,,,,,,,,2008-2009
Jerry Sloan,UTA,,22,25,,82,53,29,1755,1096,659,1970,1190,780,0.604,,10,4,6,196,96,100,202,98,104,2008-2009
Flip Saunders,WAS,,1,14,,82,26,56,82,26,56,1065,613,452,0.576,,,,,,,,98,47,51,2008-2009
