,,,Seasons,,,Regular Season,,,,,,,,,,,Playoffs,,,,,,,,,
,,,w/ Franch,Overall,,Current Season,,,w/ Franchise,,,Career,,,,,Current Season,,,w/ Franchise,,,Career,,,
Coach,Tm,,#,#,,G,W,L,G,W,L,G,W,L,W%,,G,W,L,G,W,L,G,W,L,season
Lloyd Pierce,ATL,,3,3,,34,14,20,183,63,120,183,63,120,0.344,,18,10,8,18,10,8,18,10,8,2020-2021
Nate McMillan,ATL,,1,17,,38,27,11,38,27,11,1287,688,599,0.535,,18,10,8,18,10,8,71,27,44,2020-2021
Brad Stevens,BOS,,8,8,,72,36,36,636,354,282,636,354,282,0.557,,5,1,4,78,38,40,78,38,40,2020-2021
Steve Nash,BRK,,1,1,,72,48,24,72,48,24,72,48,24,0.667,,12,7,5,12,7,5,12,7,5,2020-2021
Billy Donovan,CHI,,1,6,,72,31,41,72,31,41,472,274,198,0.581,,,,,,,,41,18,23,2020-2021
James Borrego,CHO,,3,4,,72,33,39,219,95,124,249,105,144,0.422,,,,,,,,,,,2020-2021
J.B. Bickerstaff,CLE,,2,5,,72,22,50,83,27,56,299,112,187,0.375,,,,,,,,5,1,4,2020-2021
Rick Carlisle,DAL,,13,19,,72,42,30,1033,555,478,1525,836,689,0.548,,7,3,4,71,33,38,133,63,70,2020-2021
Michael Malone,DEN,,6,8,,72,47,25,473,266,207,579,305,274,0.527,,10,4,6,43,20,23,43,20,23,2020-2021
Dwane Casey,DET,,3,12,,72,20,52,220,81,139,900,454,446,0.504,,,,,4,0,4,55,21,34,2020-2021
Steve Kerr,GSW,,7,7,,72,39,33,547,376,171,547,376,171,0.687,,,,,105,77,28,105,77,28,2020-2021
Stephen Silas,HOU,,1,1,,72,17,55,72,17,55,72,17,55,0.236,,,,,,,,,,,2020-2021
Nate Bjorkgren,IND,,1,1,,72,34,38,72,34,38,72,34,38,0.472,,,,,,,,,,,2020-2021
Tyronn Lue,LAC,,1,5,,72,47,25,72,47,25,283,175,108,0.618,,19,10,9,19,10,9,80,51,29,2020-2021
Frank Vogel,LAL,,2,10,,72,42,30,143,94,49,738,398,340,0.539,,6,2,4,27,18,9,88,49,39,2020-2021
Taylor Jenkins,MEM,,2,2,,72,38,34,145,72,73,145,72,73,0.497,,5,1,4,5,1,4,5,1,4,2020-2021
Erik Spoelstra,MIA,,13,13,,72,40,32,1031,607,424,1031,607,424,0.589,,4,0,4,143,85,58,143,85,58,2020-2021
Mike Budenholzer,MIL,,3,8,,72,46,26,227,162,65,637,375,262,0.589,,23,16,7,48,31,17,87,48,39,2020-2021
Ryan Saunders,MIN,,3,3,,31,7,24,137,43,94,137,43,94,0.314,,,,,,,,,,,2020-2021
Chris Finch,MIN,,1,1,,41,16,25,41,16,25,41,16,25,0.39,,,,,,,,,,,2020-2021
Stan Van Gundy,NOP,,1,13,,72,31,41,72,31,41,979,554,425,0.566,,,,,,,,91,48,43,2020-2021
Tom Thibodeau,NYK,,1,9,,72,41,31,72,41,31,670,393,277,0.587,,5,1,4,5,1,4,61,25,36,2020-2021
Mark Daigneault,OKC,,1,1,,72,22,50,72,22,50,72,22,50,0.306,,,,,,,,,,,2020-2021
Steve Clifford,ORL,,3,8,,72,21,51,227,96,131,637,292,345,0.458,,,,,10,2,8,21,5,16,2020-2021
Doc Rivers,PHI,,1,22,,72,49,23,72,49,23,1696,992,704,0.585,,12,7,5,12,7,5,192,98,94,2020-2021
Monty Williams,PHO,,2,7,,72,51,21,145,85,60,539,258,281,0.479,,22,14,8,22,14,8,32,16,16,2020-2021
Terry Stotts,POR,,9,13,,72,42,30,720,402,318,1003,517,486,0.515,,6,2,4,62,22,40,67,23,44,2020-2021
Luke Walton,SAC,,2,5,,72,31,41,144,62,82,390,160,230,0.41,,,,,,,,,,,2020-2021
Gregg Popovich,SAS,,25,25,,72,33,39,1963,1310,653,1963,1310,653,0.667,,,,,284,170,114,284,170,114,2020-2021
Nick Nurse,TOR,,3,3,,72,27,45,226,138,88,226,138,88,0.611,,,,,35,23,12,35,23,12,2020-2021
Quin Snyder,UTA,,7,7,,72,52,20,554,323,231,554,323,231,0.583,,11,6,5,45,19,26,45,19,26,2020-2021
Scott Brooks,WAS,,5,12,,72,34,38,390,183,207,935,521,414,0.557,,5,1,4,24,10,14,97,49,48,2020-2021
