,,,Seasons,,,Regular Season,,,,,,,,,,,Playoffs,,,,,,,,,
,,,w/ Franch,Overall,,Current Season,,,w/ Franchise,,,Career,,,,,Current Season,,,w/ Franchise,,,Career,,,
Coach,Tm,,#,#,,G,W,L,G,W,L,G,W,L,W%,,G,W,L,G,W,L,G,W,L,season
Lon Kruger,ATL,,2,2,,82,33,49,164,58,106,164,58,106,0.354,,,,,,,,,,,2001-2002
Jim O'Brien,BOS,,2,2,,82,49,33,130,73,57,130,73,57,0.562,,16,9,7,16,9,7,16,9,7,2001-2002
Paul Silas,CHH,,4,7,,82,44,38,281,161,120,527,239,288,0.454,,9,4,5,23,11,12,23,11,12,2001-2002
Tim Floyd,CHI,,4,4,,25,4,21,239,49,190,239,49,190,0.205,,,,,,,,,,,2001-2002
Bill Berry,CHI,,1,1,,2,0,2,2,0,2,2,0,2,0,,,,,,,,,,,2001-2002
Bill Cartwright,CHI,,1,1,,55,17,38,55,17,38,55,17,38,0.309,,,,,,,,,,,2001-2002
John Lucas,CLE,,1,5,,82,29,53,82,29,53,389,165,224,0.424,,,,,,,,14,6,8,2001-2002
Don Nelson,DAL,,5,24,,82,57,25,362,185,177,1842,1036,806,0.562,,8,4,4,18,8,10,130,59,71,2001-2002
Dan Issel,DEN,,6,6,,26,9,17,388,180,208,388,180,208,0.464,,,,,12,6,6,12,6,6,2001-2002
Mike Evans,DEN,,1,1,,56,18,38,56,18,38,56,18,38,0.321,,,,,,,,,,,2001-2002
Rick Carlisle,DET,,1,1,,82,50,32,82,50,32,82,50,32,0.61,,10,4,6,10,4,6,10,4,6,2001-2002
Dave Cowens,GSW,,2,6,,23,8,15,105,25,80,352,161,191,0.457,,,,,,,,12,4,8,2001-2002
Brian Winters,GSW,,1,3,,59,13,46,59,13,46,184,36,148,0.196,,,,,,,,,,,2001-2002
Rudy Tomjanovich,HOU,,11,11,,82,28,54,818,460,358,818,460,358,0.562,,,,,90,51,39,90,51,39,2001-2002
Isiah Thomas,IND,,2,2,,82,42,40,164,83,81,164,83,81,0.506,,5,2,3,9,3,6,9,3,6,2001-2002
Alvin Gentry,LAC,,2,6,,82,39,43,164,70,94,345,158,187,0.458,,,,,,,,5,2,3,2001-2002
Phil Jackson,LAL,,3,12,,82,58,24,246,181,65,984,726,258,0.738,,19,15,4,58,45,13,210,156,54,2001-2002
Sidney Lowe,MEM,,2,4,,82,23,59,164,46,118,299,79,220,0.264,,,,,,,,,,,2001-2002
Pat Riley,MIA,,7,20,,82,36,46,542,329,213,1597,1085,512,0.679,,,,,43,18,25,255,155,100,2001-2002
George Karl,MIL,,4,15,,82,41,41,296,163,133,1125,666,459,0.592,,,,,26,12,14,120,57,63,2001-2002
Flip Saunders,MIN,,7,7,,82,50,32,522,277,245,522,277,245,0.531,,3,0,3,23,5,18,23,5,18,2001-2002
Byron Scott,NJN,,2,2,,82,52,30,164,78,86,164,78,86,0.476,,20,11,9,20,11,9,20,11,9,2001-2002
Jeff Van Gundy,NYK,,7,7,,19,10,9,420,248,172,420,248,172,0.59,,,,,69,37,32,69,37,32,2001-2002
Don Chaney,NYK,,1,10,,63,20,43,63,20,43,710,285,425,0.401,,,,,,,,11,2,9,2001-2002
Doc Rivers,ORL,,3,3,,82,44,38,246,128,118,246,128,118,0.52,,4,1,3,8,2,6,8,2,6,2001-2002
Larry Brown,PHI,,5,23,,82,43,39,378,207,171,1818,1060,758,0.583,,5,2,3,46,22,24,171,83,88,2001-2002
Scott Skiles,PHO,,3,3,,51,25,26,195,116,79,195,116,79,0.595,,,,,13,5,8,13,5,8,2001-2002
Frank Johnson,PHO,,1,1,,31,11,20,31,11,20,31,11,20,0.355,,,,,,,,,,,2001-2002
Maurice Cheeks,POR,,1,1,,82,49,33,82,49,33,82,49,33,0.598,,3,0,3,3,0,3,3,0,3,2001-2002
Rick Adelman,SAC,,4,12,,82,61,21,296,187,109,905,544,361,0.601,,16,10,6,34,17,17,103,53,50,2001-2002
Gregg Popovich,SAS,,6,6,,82,58,24,442,279,163,442,279,163,0.631,,10,4,6,53,31,22,53,31,22,2001-2002
Nate McMillan,SEA,,2,2,,82,45,37,149,83,66,149,83,66,0.557,,5,2,3,5,2,3,5,2,3,2001-2002
Lenny Wilkens,TOR,,2,29,,82,42,40,164,89,75,2324,1268,1056,0.546,,5,2,3,17,8,9,174,80,94,2001-2002
Jerry Sloan,UTA,,14,17,,82,44,38,1099,734,365,1314,828,486,0.63,,4,1,3,147,75,72,153,77,76,2001-2002
Doug Collins,WAS,,1,7,,82,37,45,82,37,45,537,295,242,0.549,,,,,,,,38,15,23,2001-2002
