,,,Seasons,,,Regular Season,,,,,,,,,,,Playoffs,,,,,,,,,
,,,w/ Franch,Overall,,Current Season,,,w/ Franchise,,,Career,,,,,Current Season,,,w/ Franchise,,,Career,,,
Coach,Tm,,#,#,,G,W,L,G,W,L,G,W,L,W%,,G,W,L,G,W,L,G,W,L,season
Mike Budenholzer,ATL,,5,5,,82,24,58,410,213,197,410,213,197,0.52,,,,,39,17,22,39,17,22,2017-2018
Brad Stevens,BOS,,5,5,,82,55,27,410,221,189,410,221,189,0.539,,19,11,8,47,22,25,47,22,25,2017-2018
Kenny Atkinson,BRK,,2,2,,82,28,54,164,48,116,164,48,116,0.293,,,,,,,,,,,2017-2018
Fred Hoiberg,CHI,,3,3,,82,27,55,246,110,136,246,110,136,0.447,,,,,6,2,4,6,2,4,2017-2018
Steve Clifford,CHO,,5,5,,82,36,46,410,196,214,410,196,214,0.478,,,,,11,3,8,11,3,8,2017-2018
Tyronn Lue,CLE,,3,3,,82,50,32,205,128,77,205,128,77,0.624,,22,12,10,61,41,20,61,41,20,2017-2018
Rick Carlisle,DAL,,10,16,,82,24,58,804,437,367,1296,718,578,0.554,,,,,58,28,30,120,58,62,2017-2018
Michael Malone,DEN,,3,5,,82,46,36,246,119,127,352,158,194,0.449,,,,,,,,,,,2017-2018
Stan Van Gundy,DET,,4,12,,82,39,43,328,152,176,907,523,384,0.577,,,,,4,0,4,91,48,43,2017-2018
Steve Kerr,GSW,,4,4,,82,58,24,328,265,63,328,265,63,0.808,,21,16,5,83,63,20,83,63,20,2017-2018
Mike D'Antoni,HOU,,2,14,,82,65,17,164,120,44,1045,575,470,0.55,,17,11,6,28,17,11,87,43,44,2017-2018
Nate McMillan,IND,,2,14,,82,48,34,164,90,74,1094,568,526,0.519,,7,3,4,11,3,8,45,17,28,2017-2018
Doc Rivers,LAC,,5,19,,82,42,40,410,259,151,1470,846,624,0.576,,,,,40,18,22,161,82,79,2017-2018
Luke Walton,LAL,,2,2,,82,35,47,164,61,103,164,61,103,0.372,,,,,,,,,,,2017-2018
David Fizdale,MEM,,2,2,,19,7,12,101,50,51,101,50,51,0.495,,,,,6,2,4,6,2,4,2017-2018
J.B. Bickerstaff,MEM,,1,2,,63,15,48,63,15,48,134,52,82,0.388,,,,,,,,5,1,4,2017-2018
Erik Spoelstra,MIA,,10,10,,82,44,38,804,484,320,804,484,320,0.602,,5,1,4,118,71,47,118,71,47,2017-2018
Jason Kidd,MIL,,4,5,,45,23,22,291,139,152,373,183,190,0.491,,,,,12,4,8,24,9,15,2017-2018
Joe Prunty,MIL,,1,1,,37,21,16,37,21,16,37,21,16,0.568,,7,3,4,7,3,4,7,3,4,2017-2018
Tom Thibodeau,MIN,,2,7,,82,47,35,164,78,86,558,333,225,0.597,,5,1,4,5,1,4,56,24,32,2017-2018
Alvin Gentry,NOP,,3,15,,82,48,34,246,112,134,951,447,504,0.47,,9,5,4,9,5,4,30,17,13,2017-2018
Jeff Hornacek,NYK,,2,5,,82,29,53,164,60,104,377,161,216,0.427,,,,,,,,,,,2017-2018
Billy Donovan,OKC,,3,3,,82,48,34,246,150,96,246,150,96,0.61,,6,2,4,29,14,15,29,14,15,2017-2018
Frank Vogel,ORL,,2,8,,82,25,57,164,54,110,595,304,291,0.511,,,,,,,,61,31,30,2017-2018
Brett Brown,PHI,,5,5,,82,52,30,410,127,283,410,127,283,0.31,,10,5,5,10,5,5,10,5,5,2017-2018
Earl Watson,PHO,,3,3,,3,0,3,118,33,85,118,33,85,0.28,,,,,,,,,,,2017-2018
Jay Triano,PHO,,1,4,,79,21,58,79,21,58,308,108,200,0.351,,,,,,,,,,,2017-2018
Terry Stotts,POR,,6,10,,82,49,33,492,272,220,775,387,388,0.499,,4,0,4,35,11,24,40,12,28,2017-2018
Dave Joerger,SAC,,2,5,,82,27,55,164,59,105,410,206,204,0.502,,,,,,,,22,9,13,2017-2018
Gregg Popovich,SAS,,22,22,,82,47,35,1738,1197,541,1738,1197,541,0.689,,5,1,4,277,167,110,277,167,110,2017-2018
Dwane Casey,TOR,,7,9,,82,59,23,558,320,238,680,373,307,0.549,,10,4,6,51,21,30,51,21,30,2017-2018
Quin Snyder,UTA,,4,4,,82,48,34,328,177,151,328,177,151,0.54,,11,5,6,22,9,13,22,9,13,2017-2018
Scott Brooks,WAS,,2,9,,82,43,39,164,92,72,709,430,279,0.606,,6,2,4,19,9,10,92,48,44,2017-2018
